stateID=1, vehicleID=252392, currentMileage=37430, seatNum=56
stateID=1, vehicleID=802132, currentMileage=37430, seatNum=67
BusRequest(stateID=1, destCity=Merrickville, requiredSeatNum=79) cannot be statisfied.
stateID=1, vehicleID=651332, currentMileage=37430, seatNum=43
stateID=1, vehicleID=488650, currentMileage=37430, seatNum=76
stateID=1, vehicleID=183853, currentMileage=37430, seatNum=23
stateID=1, vehicleID=143966, currentMileage=37430, seatNum=57
stateID=1, vehicleID=877061, currentMileage=37430, seatNum=55
stateID=1, vehicleID=456097, currentMileage=37430, seatNum=71
stateID=1, vehicleID=140054, currentMileage=37430, seatNum=28
stateID=1, vehicleID=506258, currentMileage=37430, seatNum=78
stateID=1, vehicleID=328093, currentMileage=37430, seatNum=25
stateID=1, vehicleID=614499, currentMileage=37430, seatNum=78
stateID=1, vehicleID=601292, currentMileage=37430, seatNum=50
stateID=1, vehicleID=453346, currentMileage=37430, seatNum=66
stateID=1, vehicleID=727569, currentMileage=37430, seatNum=71
stateID=1, vehicleID=742895, currentMileage=37430, seatNum=77
stateID=1, vehicleID=629050, currentMileage=37430, seatNum=72
stateID=1, vehicleID=375904, currentMileage=37430, seatNum=22
stateID=1, vehicleID=232430, currentMileage=37430, seatNum=77
stateID=2, vehicleID=462386, currentMileage=52230, seatNum=29
stateID=2, vehicleID=629050, currentMileage=42109, seatNum=72
stateID=2, vehicleID=506258, currentMileage=63036, seatNum=78
stateID=2, vehicleID=614499, currentMileage=35129, seatNum=78
stateID=2, vehicleID=232430, currentMileage=38639, seatNum=77
stateID=2, vehicleID=521988, currentMileage=88067, seatNum=46
stateID=2, vehicleID=802132, currentMileage=76429, seatNum=67
stateID=2, vehicleID=140054, currentMileage=73025, seatNum=28
stateID=2, vehicleID=453346, currentMileage=58227, seatNum=66
stateID=2, vehicleID=495356, currentMileage=71530, seatNum=43
stateID=2, vehicleID=252392, currentMileage=86971, seatNum=56
stateID=2, vehicleID=742895, currentMileage=43943, seatNum=77
stateID=2, vehicleID=386476, currentMileage=78653, seatNum=36
stateID=2, vehicleID=429507, currentMileage=65085, seatNum=43
stateID=2, vehicleID=464577, currentMileage=55048, seatNum=74
BusRequest(stateID=2, destCity=Grafton, requiredSeatNum=77) cannot be statisfied.
stateID=2, vehicleID=456097, currentMileage=89539, seatNum=71
stateID=2, vehicleID=143966, currentMileage=87787, seatNum=57
stateID=2, vehicleID=877061, currentMileage=72672, seatNum=55
